Job ID,Job Title,Company,Location,Remote,Employment Type,Date Posted,Job URL,Description
1793774887,Summer UI/UX Internship,ReplyQuickAI,"Sarasota, Florida, United States",true,INTERN,2025-07-03T13:34:09,https://www.linkedin.com/jobs/view/summer-ui-ux-internship-at-replyquickai-4258107908,"We’re offering a 4-week summer internship (15–20 hours/week, remote) for current college students passionate about UI/UX design and looking to gain hands-on experience with a U.S. startup team. Join ReplyQuick, a fast-growing AI platform helping service businesses respond instantly to calls, texts, and leads. We're currently rebuilding our entire backend — and we need design support to overhaul the interface. Internship Scope Redesign the backend interface in Figma with a focus on simplicity, clarity, and usability Help create cleaner tab layouts, smarter button placement, and improved user flow Collaborate with our dev team (15+ members) as they implement designs Make design tweaks as needed during the build phase What We’re Looking For Currently enrolled in college (any year) Strong interest or background in UI/UX design Experience with Figma required Comfortable working in fast-paced startup teams Clear communication, quick response time, and team spirit What You’ll Gain Real startup experience working on a live redesign project Portfolio-ready design work for a U.S.-based tech product Collaboration with full-stack developers and product leadership A letter of recommendation upon successful completion of the internship"
1793672837,GCP AI/ML,Ubique Systems,"London, City of, United Kingdom",true,CONTRACTOR,2025-07-03T13:04:46,https://uk.linkedin.com/jobs/view/gcp-ai-ml-at-ubique-systems-4258110278,"Certifications Minimum: Google Professional Data Engineer Preferred: AWS Machine Learning Specialty Certification 7+ years in a customer facing role working with enterprise clients 4+ years of experience working in enterprise data warehouse and analytics technologies Hands-on experience building and training machine learning models. Experience writing software in one or more languages such as Python, Scala, R, or similar with strong competencies in data structures, algorithms, and software design. Experience working with recommendation engines, data pipelines, or distributed machine learning. Experience working with deep learning frameworks (such as TensorFlow, Keras, Torch, Caffe, Theano). Strong coding skills in Python and familiarity with ML/DL libraries like TensorFlow, PyTorch, or JAX. Knowledge of data analytics concepts, including data warehouse technical architectures, ETL and reporting/analytic tools and environments (such as Apache Beam, Hadoop, Spark, Pig, Hive, MapReduce, Flume). Customer facing experience of discovery, assessment, execution, and operations. Demonstrated excellent communication, presentation, and problem solving skills. Experience in project governance and enterprise customer management. Proficiency in building Graph Neural Networks (GNNs) using frameworks like DGL, PyTorch Geometric, or similar. Experience with ScaNN or other approximate nearest neighbor (ANN) techniques for vector similarity search. Hands-on experience with Google Cloud Platform (GCP) tools such as Vertex AI, BigQuery, and Dataflow. Strong problem-solving and communication skills, including the ability to work with clients and cross-functional teams."
1793381002,Sr. Software Engineer - Sitecore Web Development (Remote),Publix Super Markets,"Lakeland, Florida, United States",true,FULL_TIME,2025-07-03T10:55:31,https://www.linkedin.com/jobs/view/sr-software-engineer-sitecore-web-development-remote-at-publix-super-markets-4261409820,"Description  Publix can offer virtual employment for this position in the following states: FL, GA, AL, TN, SC, NC, VA, KY.  Welcome to Publix Technology, the award-winning technical group for Publix Super Markets, Inc., the largest employee-owned company in the nation. Our technology teams of 2100+ associates provide cutting-edge, modern solutions to nearly 1400 retail stores and 200,000+ internal team members across 8 states. We offer positions at all levels - summer internships, individual contributor roles, to technical leadership across a broad range of technical disciplines. So, whether you are interested in IT security, platform engineering, architecture, software development, or infrastructure - we have a career path for you! Pub Subs are not the only thing we build from scratch. See for yourself why Publix Super Markets, Inc. has been on Fortune's 100 Best Companies to Work For listJoin the Publix Technology team where you will be part of an agile software development team responsible for developing features on Publix.com using Sitecore CMS. Your primary responsibility will be designing and developing solutions using Sitecore CMS, ASP.NET, C#, JavaScript, HTML, and CSS.  Job Responsibilities  Develop and maintain web solutions using Sitecore CMS Participate in agile scrum events Participate in architecture and design discussions with cross-functional team members Participate in code reviews and provide feedback Unit test code and ensure high quality When called upon, lead engineering initiatives Maintain, improve, and document systems Provide after-hours support for systems  Required Qualifications  Bachelor’s degree in computer science or other technical discipline or equivalent experience 5+ years of experience designing, developing, and supporting customer-facing, e-commerce websites and APIs 5+ years of experience with CSS, HTML, and JavaScript 3+ years of experience developing websites leveraging Sitecore CMS 3+ years of experience with .NET and C# development 3+ years of experience developing websites using frontend JavaScript frameworks 1+ years of experience with Agile software development processes and Scrum  Preferred Qualifications  Experience with source control systems using GIT and Microsoft Azure DevOps Experience with unit testing and automation frameworks Experience building highly scalable systems and performance tuning them Experience with analytics, feature flag, and experimentation tools such as Google Tag Manager, Optimizely, Launch Darkly, and Adobe Analytics Experience building websites to meet WCAG ADA compliance standards Experience with PowerShell  Benefits Information  Employee stock ownership plan that contributes Publix stock to associates each year at no cost An opportunity to purchase additional shares of our privately-held stock 401(k) retirement savings plan Group health, dental and vision plans Paid Time Off Paid Parental Leave Short- and long-term disability insurance Tuition reimbursement Free hot lunches (buffet-style) at facilities with a cafeteria Visit our website to see all of our benefits: https://jobs.publix.com/benefits/  Year End Bonus  As a year-end bonus to associates, Publix issues one month’s extra pay (pro-rated in the first year) each year if associate remains employed through issue date of the bonus check that year. This is calculated as a 13th month of pay in the Potential Annual Pay with Bonus line above.  Additional Information  Your application may have additional steps that you will need to complete in order to remain eligible for consideration. Please be sure to monitor your email, including your spam folder, on a daily basis for critical, time-sensitive emails that could require action within 24-48 hours. Please do not use your Publix email address when applying. Once your application has been successfully submitted you will receive a confirmation email. ***Relocation/Household Good Shipment Allowance will NOT be provided.***"
1793304755,Test Automation Lead,Xpertise Recruitment,United Kingdom,true,FULL_TIME,2025-07-03T09:19:31,https://uk.linkedin.com/jobs/view/test-automation-lead-at-xpertise-recruitment-4257685230,"Test Automation Lead | £65,000 | Remote-first (1 day/month East Mids) | SaaS | C# / API  This is a well-established SaaS business that dominates its niche. This role sits within the payments team, where quality is mission-critical. You’ll own the test strategy, lead from the front technically, and coach a small team of quality engineers, all while staying close to code and delivery.  The environment is remote-first (with a monthly meetup in east mids). You’ll be joining a business that believes in autonomy, supports its people properly, and invests in doing things the right way.  What you’ll be doing: Leading and evolving automation strategy across a complex, high-volume product Building and improving test automation frameworks in C#, RestSharp, and Selenium Driving quality from day one, with a real say in how test is approached across squads Coaching and upskilling a growing team, technical mentorship and team culture are key here Working closely with devs and product to embed quality across the SDLC  You’ll need: Strong automation experience with C#, Selenium, and API automtion exp (RestSharp) A real quality mindset, not just test execution, but advocating for testability, CI/CD, shift-left etc. Leadership experience, maybe you're already in a Lead role, or a senior looking for that next step A passion for growing people and embedding a strong engineering culture UK Citizenship or ILR visa status (sorry, no sponsorship on this one)  For more information please apply now or contact job poster directly for information"
1793154832,Salesforce QA,Impellam Group,"London, City of, United Kingdom",true,CONTRACTOR,2025-07-03T08:51:42,https://uk.linkedin.com/jobs/view/salesforce-qa-at-impellam-group-4261397772,"Salesforce QA (Provar) - Full Remote - Outside IR35 Contract - IT Cybersecurity Consultancy   One of the largest UK security consultancies is looking to hire a temp Salesforce QA to help upscale and maintain their Provar framework across their internal and client-facing Salesforce services.   As a Salesforce QA, you will be responsible for ensuring the quality and reliability of our Salesforce applications. You will work closely with development and product teams to design, develop, and execute automated test scripts using Provar. Your role will involve identifying and reporting defects, ensuring that our applications meet the highest standards of quality.  Rate: 500 Outside IR35 Duration: 6months  Location: Remote   Requirements:  Proven experience as a QA/Test Automation using Provar on Salesforce applications  Demonstrable experience of building end-to-end test cases in Provar  Solid understanding of QA methodologies, tools,s and processes Experience in upscaling/supporting members with automation frameworks and tools  Must have experience with Service Cloud  Desirable certifications with Salesforce"
1792918677,QA Auditor,Thermo Fisher Scientific,"North Carolina, United States",true,FULL_TIME,2025-07-03T06:54:08,https://www.linkedin.com/jobs/view/qa-auditor-at-thermo-fisher-scientific-4257671178,"Work Schedule  Standard (Mon-Fri)  Environmental Conditions  Office  Company Name: PPD Development, L.P.  Position Title: QA Auditor  Location: 929 North Front Street, Wilmington, NC 28401  Summary of Duties: Audits laboratory data for GxP compliance with methods and standard operating procedures and report findings. Audits sample result tables and analytical reports for completeness and accurate representation of the data and report findings. Serves as a resource to operational departments on audit or quality assurance subject matter. Prepares and presents audit findings and/or other related information at departmental and internal operations. Works on problems of moderate scope where analysis of situations or data requires a review of a variety of factors. Develops professional expertise, applies company policies and procedures to resolve a variety of issues, cooperating with colleagues to reach deliverables. Applies company policies and procedures to resolve routine issues. Prepares of audit findings and/or other related information and work with lab on resolving these findings. Assesses and resolves quality events. Helps prepare departmental metrics to be presented in the quality council meetings. Uses six sigma concept and knowledge to initiate and lead practical process improvement. Perform on site In-Process audit according to SOP and methods. Duties may be performed remotely.  Qualifications: Bachelor’s degree in Pharmacy, Chemistry, Biology, or related field and two (2) years of experience as a Pharmacy Intern, QA Manager, Customer QA Specialist, or related role. Must have any amount of experience with: Applicable GxP and appropriate regional regulations; Support, review and revise SOPs and WPDs; Analytical documentation regarding technical areas, such as Flow Cytometry, Ligand Binding Assays, Liquid Chromatography, simple medicinal compounding, titration, or analytical testing; Quality Management System techniques including Quality Assurance (QA), Quality Control (QC), Standard Operating Procedure (SOP), Batch Record, Calibration, Validation, Documentation, Non-conformance, non-compliance, Corrective Action/Preventive Action (CAPA), Audit, Risk Assessment, and Quality Control Charts; Regulatory Compliance techniques including Regulatory Authority, Good Manufacturing Practice (GMP), Good Laboratory Practices (GLP), and Good Clinical Practices (GCP); Auditing functions including Planning, Preparation, Conducting Quality Audits, Data Collection, Analysis and Evaluation, Reporting, Follow-up and, Closure. Experience with required skills may be gained from academic coursework or internships."
1792811864,UI/UX Design Manager or Director,Numentica,"Atlanta, Georgia, United States",true,CONTRACTOR,2025-07-03T05:54:18,https://www.linkedin.com/jobs/view/ui-ux-design-manager-or-director-at-numentica-4261375878,"This is a remote position.  We are looking for a Principal UI/UX Designer. In this role you will be collaborating with stakeholders from our team, creating designs, driven by our platform, products, and customer requirements.  Responsibilities:  You will work with the product team to understand requirements and develop UI mocks for new features  You will audit existing features and create design iterations based on feedback from customers and other stakeholders  You will guide acceptance meetings with UI engineers, and iterate based on feasibility assessments  You will be expected to lead and collaborate with other designers to achieve a unified experience across all other HPE products within the Hybrid Cloud business unit.   Requirements:  You have a Bachelor's or Master of Fine Arts in Graphic Design OR Bachelor's or Master's degree in Computer Science / Human Computer Interaction / Interaction Design OR equivalent  You have 8+ years of UI design experience, with a majority in enterprise software  You have used Figma to prototype, collaborate, and shape software   Nice to have:  Experience designing for AI applications/tools  Experience with web development  Leadership/management experience   Additional Skills:  Accountability, Accountability, Action Planning, Active Learning (Inactive), Active Listening, Agile Methodology, Agile Scrum Development, Analytical Thinking, Bias, Coaching, Creativity, Critical Thinking, Cross-Functional Teamwork, Data Analysis Management, Data Collection Management (Inactive), Data Controls, Design, Design Thinking, Empathy, Follow-Through, Group Problem Solving, Growth Mindset, Intellectual Curiosity (Inactive), Long Term Planning, Managing Ambiguity  Show more Show less"
1792560024,UI/UX Designer,"Wren Asset Management, LLC","New York, New York, United States",true,INTERN,2025-07-03T03:30:18,https://www.linkedin.com/jobs/view/ui-ux-designer-at-wren-asset-management-llc-4261346554,"About Us Wren Asset Management is a multi-strategy investment firm with a focus on quantitative trading, building proprietary algorithms that have consistently outperformed the market, achieving returns over 1,500% through the end of 2024. As our fund grew, we successfully raised over $100,000 in our seed round, which enabled us to diversify into private equity and, most recently, to acquire Solana.org Launcher, marking the start of our investment banking journey.  Role Description At Wren, our paid UI/UX Design Interns play a vital role in designing and enhancing user interfaces for our trading fund’s digital platforms. This internship offers hands-on experience in UI/UX design, focusing on creating intuitive, user-friendly, and visually appealing interfaces. Guided by the principle that learning happens best through doing, we provide interns the freedom to work remotely on their own devices.  Our program is designed to accommodate the student lifestyle, with a commitment of approximately 10 hours per week. These hours are primarily focused on user research, wireframing, prototyping, and iterating on design solutions. This is a paid position, offering competitive compensation for the duration of the internship, with opportunities for growth and involvement in upcoming website and app development projects.  Qualifications Experience in UI/UX design principles and user-centered design Familiarity with design tools such as Figma, Adobe XD, or Sketch Strong visual design skills and attention to detail Knowledge of user research and usability testing methods Ability to work independently and remotely Excellent problem-solving and creative thinking skills Pursuing a degree in Design, Human-Computer Interaction, Graphic Design, Computer Science, or a related field Deep passion for creating impactful and intuitive user experiences"
1792241909,"Senior Software Engineer, Test Automation (Remote - MD, DC, VA)",CareFirst BlueCross BlueShield,"Washington, District of Columbia, United States",true,FULL_TIME,2025-07-03T01:29:23,https://www.linkedin.com/jobs/view/senior-software-engineer-test-automation-remote-md-dc-va-at-carefirst-bluecross-blueshield-4261316337,"Resp & Qualifications  PURPOSE:   Performs complex analysis, design, development, testing, and debugging of computer software ranging from operating system architecture integration and software design to selection of computer systems, language, and/or equipment. Designs, develops/codes, tests, and documents critical and complex application programs for computer systems. Works with appropriate stakeholders to define system scope and objectives and establish baselines. Establishes project standards and processes. Breaks down software requirements and creates highly complex systems.  Essential Functions  Perform technical detail design, coding, testing of applications. Serves as subject matter expert for both customer and internal discussions related to maintaining and enhancing existing software systems. Develop and/or analyze interface design documentation. Comply with hardware and software systems standards and procedures. Deliver large systems for tens of thousands of users. Comply with code quality, migration and dev/ops standards and policies. Performs software analysis, including requirements and uses case development and design. Implements and documents source code to design specifications. Performs software testing including developing and running automated unit tests, drafting, and executing structured automated test cases. Compile, assess, and report data results from software testing and analysis.  Develops software solutions for enterprise environments and other technologies. Analyzes and implements functional and non-functional (e.g. performance, availability) requirements and designs, implements, and tests software. Performs operations & maintenance (O&M) of existing systems. Identifies areas for improvement and streamlining. Demonstrated experience with front-end and back-end programing and integration frameworks and tools. Assist in the estimation of development of application features. Provides direct technical support for high level, high visibility and critical trouble calls for supported applications. Works with cross functional teams to develop highly reliable software that runs at scale. Provides recommendations to infuse new technology. Extend open-source libraries and systems as necessary to meet the needs of the team. Play a crucial role in product scoping and roadmap / architecture discussions. Continually evaluate emerging technologies to identify opportunities, trends, and best practices. Mentoring of junior software engineers.  Supervisory Responsibility  Position does not have direct reports but is expected to assist in guiding and mentoring less experienced staff. May lead a team of matrixed resources.  Qualifications  Education Level: Bachelor's Degree in Information Technology or Computer Science OR in lieu of a Bachelor's degree, an additional 4 years of relevant work experience is required in addition to the required work experience.  Experience: 5 years experience with software development, basic coding and compilation, software architecture/design, user requirements definition and software specification development.  Knowledge, Skills And Abilities (KSAs)  Ability to communicate technical requirements to all levels of expertise. Proficient in establishing and maintaining good working relationships. Knowledge and understanding of software development life cycle (SDLC). Proficient with integrating complex and/or existing systems. Knowledge of programming languages (e.g. JavaScript, C, Python, etc.). Excellent communication skills both written and verbal. Knowledge of cloud technologies (e.g. AWS, Azure). Knowledge of database technologies (e.g. cloud, SQL, Oracle, Mongo DB, PostgreSQL, etc.). Fundamental knowledge of software engineers? best practices, agile methodologies, CI/CD pipelines. Knowledge of test-first practices including Test-Driven Development (TDD) for unit tests and Behavior-Driven Development (BDD) for automated acceptance tests. Strong experience with Deployment/Continuous Integration/ Continuous Testing/ Continuous Delivery processes and tools and have expertise in CI/CD tools and framework. Knowledge of Code quality and promotion practices. Must be able to meet established deadlines and handle multiple customer service demands from internal and external customers, within set expectations for service excellence. Must be able to effectively communicate and provide positive customer service to every internal and external customer, including customers who may be demanding or otherwise challenging.  Salary Range: $96,552 - $191,763  Salary Range Disclaimer  The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the work is being performed. This compensation range is specific and considers factors such as (but not limited to) the scope and responsibilites of the position, the candidate's work experience, education/training, internal peer equity, and market and business consideration. It is not typical for an individual to be hired at the top of the range, as compensation decisions depend on each case's facts and circumstances, including but not limited to experience, internal equity, and location. In addition to your compensation, CareFirst offers a comprehensive benefits package, various incentive programs/plans, and 401k contribution programs/plans (all benefits/incentives are subject to eligibility requirements).  Department  Production Support  Equal Employment Opportunity  CareFirst BlueCross BlueShield is an Equal Opportunity (EEO) employer. It is the policy of the Company to provide equal employment opportunities to all qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, protected veteran or disabled status, or genetic information.  Where To Apply  Please visit our website to apply: www.carefirst.com/careers  Federal Disc/Physical Demand  Note: The incumbent is required to immediately disclose any debarment, exclusion, or other event that makes him/her ineligible to perform work directly or indirectly on Federal health care programs.  Physical Demands  The associate is primarily seated while performing the duties of the position. Occasional walking or standing is required. The hands are regularly used to write, type, key and handle or feel small controls and objects. The associate must frequently talk and hear. Weights up to 25 pounds are occasionally lifted.  Sponsorship in US  Must be eligible to work in the U.S. without Sponsorship"
1792076173,Sr. Software Engineer - Sitecore Web Development (Remote),Jobs via Dice,"Lakeland, Florida, United States",true,FULL_TIME,2025-07-03T00:09:48,https://www.linkedin.com/jobs/view/sr-software-engineer-sitecore-web-development-remote-at-jobs-via-dice-4259929208,"Publix Super Markets, Inc. is the largest privately-owned food retailer in the nation with more than 1,200 stores and more than 200,000 associates throughout the Southeast. We are associate-owned, proud of our family atmosphere, and consistently named as one of the best companies to work for in America. We are largely debt-free and renowned for our financial performance as well as our premier customer service. Publix?s Information Services (I/S) department is located in Lakeland, Florida and Alpharetta, Georgia and employs over 1000 associates. I/S provides the information technology required for all Publix business units including retail stores and all office and warehouse environments. The Publix I/S mission is to maximize the value of information technology to Publix associates and customers. Publix can offer virtual employment for this position in the following states: FL, GA, AL, TN, SC, NC, VA, KY.  Welcome to Publix Technology, the award-winning technical group for Publix Super Markets, Inc., the largest employee-owned company in the nation. Our technology teams of 2100+ associates provide cutting-edge, modern solutions to nearly 1400 retail stores and 200,000+ internal team members across 8 states. We offer positions at all levels - summer internships, individual contributor roles, to technical leadership across a broad range of technical disciplines. So, whether you are interested in IT security, platform engineering, architecture, software development, or infrastructure - we have a career path for you! Pub Subs are not the only thing we build from scratch. See for yourself why Publix Super Markets, Inc. has been on Fortune's 100 Best Companies to Work For list  Join the Publix Technology team where you will be part of an agile software development team responsible for developing features on Publix.com using Sitecore CMS. Your primary responsibility will be designing and developing solutions using Sitecore CMS, ASP.NET, C#, JavaScript, HTML, and CSS.  Job Responsibilities:  Develop and maintain web solutions using Sitecore CMS Participate in agile scrum events Participate in architecture and design discussions with cross-functional team members Participate in code reviews and provide feedback Unit test code and ensure high quality When called upon, lead engineering initiatives Maintain, improve, and document systems Provide after-hours support for systems Bachelor?s degree in computer science or other technical discipline or equivalent experience 5+ years of experience designing, developing, and supporting customer-facing, e-commerce websites and APIs 5+ years of experience with CSS, HTML, and JavaScript 3+ years of experience developing websites leveraging Sitecore CMS 3+ years of experience with .NET and C# development 3+ years of experience developing websites using frontend JavaScript frameworks 1+ years of experience with Agile software development processes and Scrum Experience with source control systems using GIT and Microsoft Azure DevOps Experience with unit testing and automation frameworks Experience building highly scalable systems and performance tuning them Experience with analytics, feature flag, and experimentation tools such as Google Tag Manager, Optimizely, Launch Darkly, and Adobe Analytics Experience building websites to meet WCAG ADA compliance standards Experience with PowerShell Employee stock ownership plan that contributes Publix stock to associates each year at no cost An opportunity to purchase additional shares of our privately-held stock 401(k) retirement savings plan Group health, dental and vision plans Paid Time Off Paid Parental Leave Short- and long-term disability insurance Tuition reimbursement Free hot lunches (buffet-style) at facilities with a cafeteria Visit our website to see all of our benefits:"
